goods_id,timestamp,shop_id,category,price,image_type,image_width,image_height
1,2017-01-03 17:15:47.095,153,상의,17000,jpg,500,500
2,2017-01-05 19:00:05.126,11,악세사리,268000,gif,270,360
3,2017-01-16 16:34:12.717,86,란제리&파자마,22000,jpg,500,666
4,2017-01-18 18:35:54.200,53,란제리&파자마,24800,gif,280,380
5,2017-01-21 17:09:08.954,60,스커트,29000,jpg,330,235
6,2017-01-23 19:32:47.981,137,란제리&파자마,20400,gif,300,370
7,2017-02-02 05:19:11.450,102,악세사리,9000,gif,373,500
8,2017-02-08 17:45:05.765,19,바지,15300,jpg,600,709
9,2017-02-12 00:02:50.000,32,바지,9900,gif,420,366
10,2017-02-13 19:00:24.854,168,패션소품,9900,jpg,300,400
11,2017-02-14 10:48:04.487,124,바지,29000,gif,258,320
12,2017-02-15 17:10:39.896,57,슈즈,129000,jpg,232,296
13,2017-02-16 17:55:03.000,53,란제리&파자마,16800,gif,332,450
14,2017-02-19 22:34:34.725,102,악세사리,3500,jpg,373,500
15,2017-02-22 17:30:05.652,22,상의,4500,gif,279,365
16,2017-02-26 01:19:21.936,102,악세사리,13500,jpg,373,500
17,2017-02-28 19:05:31.683,76,원피스,23660,jpg,349,525
18,2017-03-02 19:45:05.830,22,바지,16900,gif,279,365
19,2017-03-03 16:19:40.165,89,스커트,19000,jpg,470,595
20,2017-03-06 22:31:24.845,153,바지,17500,jpg,500,500
21,2017-03-08 18:35:16.687,91,악세사리,1500,jpg,330,460
22,2017-03-10 02:21:31.046,60,상의,18000,gif,280,385
23,2017-03-11 04:19:35.443,109,란제리&파자마,18000,gif,357,500
24,2017-03-11 04:19:35.443,109,란제리&파자마,23800,gif,357,500
25,2017-03-11 19:00:10.364,6,스커트,32000,png,230,350
26,2017-03-13 21:04:58.470,93,바지,34900,gif,290,420
27,2017-03-15 19:34:54.342,102,악세사리,8500,jpg,373,500
28,2017-03-16 17:36:48.004,60,상의,16000,jpg,280,385
29,2017-03-21 00:51:24.040,60,아우터,17000,gif,280,385
