timestamp,user_id,goods_id,shop_id,price
2018-06-11 00:00:43.032,bvu0aLTqiFDoU-963xnr5nzQWTNLUMjx,1414,38,45000
2018-06-11 00:02:33.763,smDmRnykg61KajpxXKzQ0oNkrh2nuSBj,1351,12,9500
2018-06-11 00:04:06.364,EyGjKYtSqZgqJ1ddKCtH5XwGirTyOH2P,646,14,22000
2018-06-11 00:04:17.258,KQBGi33Zxh5Dgu0WEkOkjN0YqTT_wxC3,5901,46,29800
2018-06-11 00:05:26.010,lq1Je3voA3a0MouSFba3629lKCvweI24,5572,89,29000
2018-06-11 00:05:35.182,GM0-EsJPHjkpteIpAQIwaCdUjU81lhW1,55,22,11200
2018-06-11 00:06:14.314,lgvWxrv7r5RGklXSJqM2x6NUBZ5H-RQZ,2451,22,19800
2018-06-11 00:08:39.716,LZZ0ktGq6hW685TFAQfcGNhsKVUEceHl,4278,60,23500
2018-06-11 00:11:30.954,Evz6xmsye1BP7i33rr_RAjwBRZ_AOsTZ,686,22,12900
2018-06-11 00:12:12.469,_t38UxRGHDKAsgc7nJhxz0e7q3pIj-RD,4521,19,26500
2018-06-11 00:13:40.279,2eb5qysY4MRSlB4wy9N6ZsfNffmvyoKY,1622,28,23900
2018-06-11 00:14:32.171,3LGSst6B7iam6ua5uoPG_D43HkkIGY0v,6222,65,29700
2018-06-11 00:14:53.858,OTgwvtiSLDoWj5gqc5k7oTQ4EJ19bpuj,3985,102,13500
2018-06-11 00:16:24.729,1htAKqqU-G6Cqwhl1AQZdrcqm9i-xhn7,854,59,13500
2018-06-11 00:16:58.463,hZrcB-RV5EqL94ysDGcrQ1TZKlhSeS7L,4318,2,18500
2018-06-11 00:16:59.727,qyHhjqtMFu8B7lG1OKT39sj1J6RJNGeZ,4583,91,2500
2018-06-11 00:17:05.702,ejnC07Ro8itd1n2oCegwOIdrgoF8hT0O,3402,79,35800
2018-06-11 00:17:08.555,45TmDQuhC0bjgTIsSStEj6ttHdgF_jOr,2418,98,29000
2018-06-11 00:17:45.978,B3yaMZ62HOH0shQOKjo4QPV6PLcobUsT,6242,63,18900
2018-06-11 00:18:21.226,-L2Awbp23c9b1o1R_do--BZEtPivAUua,2941,126,23900
2018-06-11 00:18:42.937,3ntrLPHn8Xu0IsVQ1z00T2g1FnaJG6jf,1482,138,9900
2018-06-11 00:18:45.243,R6PmigLc669neah2MZxxbIEWsTpEoww0,330,124,19800
2018-06-11 00:20:15.178,XZcG-8HyZc10O7JvFYklwdrUZGTbCoi1,6241,43,32000
2018-06-11 00:21:10.667,Vz_t7ZIWUi8wyzGGheiYnfEoKMfDLR60,993,12,4500
2018-06-11 00:21:16.753,6jvfNuWMFWuRpEKCk1J03XsrhEtXMX_H,2812,139,46000
2018-06-11 00:21:55.869,sYFIv7ryLof2OGic7DnrYRb3BX3VPphc,2392,179,16900
